SK_ID_CURR,Type de prêt,Montant du crédit ($),Annuités ($),Montant du bien ($),Type de logement
102979,Cash loans,431280.0,22149.0,360000.0,House / apartment
102982,Cash loans,332946.0,14665.5,238500.0,House / apartment
102987,Cash loans,688500.0,35284.5,688500.0,Rented apartment
102989,Cash loans,225000.0,9589.5,225000.0,House / apartment
102995,Cash loans,272520.0,21658.5,225000.0,House / apartment
102996,Revolving loans,270000.0,13500.0,270000.0,House / apartment
103000,Cash loans,601470.0,25614.0,450000.0,House / apartment
103001,Cash loans,378706.5,18346.5,306000.0,House / apartment
103004,Cash loans,538389.0,37602.0,477000.0,House / apartment
103010,Cash loans,180000.0,21361.5,180000.0,House / apartment
103025,Cash loans,440784.0,34956.0,360000.0,House / apartment
103029,Cash loans,108000.0,11340.0,108000.0,House / apartment
103046,Cash loans,1096020.0,59589.0,900000.0,House / apartment
103056,Cash loans,315000.0,16213.5,315000.0,House / apartment
103062,Cash loans,603000.0,32841.0,603000.0,House / apartment
103078,Cash loans,675000.0,24376.5,675000.0,House / apartment
103083,Cash loans,929088.0,33502.5,720000.0,House / apartment
103092,Cash loans,783927.0,42655.5,688500.0,House / apartment
103096,Cash loans,278460.0,21676.5,225000.0,House / apartment
103097,Cash loans,585000.0,41733.0,585000.0,House / apartment
103102,Cash loans,1079581.5,55251.0,886500.0,House / apartment
103112,Cash loans,675000.0,45108.0,675000.0,House / apartment
103132,Cash loans,634662.0,24057.0,472500.0,House / apartment
103144,Cash loans,643500.0,50971.5,643500.0,House / apartment
103145,Cash loans,315000.0,25015.5,315000.0,House / apartment
103146,Cash loans,156384.0,16551.0,135000.0,House / apartment
103147,Cash loans,969979.5,49657.5,796500.0,With parents
103158,Cash loans,104256.0,10813.5,90000.0,Municipal apartment
103171,Cash loans,291114.0,22657.5,243000.0,House / apartment
103173,Cash loans,1035000.0,33516.0,1035000.0,House / apartment
103184,Cash loans,257391.0,29241.0,238500.0,With parents
103195,Cash loans,599778.0,30753.0,477000.0,House / apartment
103196,Cash loans,900000.0,45954.0,900000.0,House / apartment
103206,Cash loans,166810.5,17221.5,144000.0,House / apartment
103230,Cash loans,643500.0,50971.5,643500.0,House / apartment
103231,Cash loans,495000.0,23944.5,495000.0,House / apartment
103232,Cash loans,278460.0,20947.5,225000.0,House / apartment
103239,Cash loans,773955.0,29308.5,639000.0,Municipal apartment
