SK_ID_CURR,Âge (ans),Sexe,Statut familial,Nbre enfants,Niveau éducation,Type revenu,Ancienneté emploi,Revenus ($)
101193,26,Masculin,Married,1,Secondary / secondary special,Working,0,94500.0
101194,34,Féminin,Married,2,Secondary / secondary special,Working,10,67500.0
101198,33,Masculin,Single / not married,1,Secondary / secondary special,Commercial associate,4,135000.0
101200,42,Féminin,Separated,0,Secondary / secondary special,Working,23,292500.0
101204,43,Masculin,Married,1,Secondary / secondary special,Working,7,180000.0
101211,53,Féminin,Married,0,Secondary / secondary special,Pensioner,0,198000.0
101213,31,Féminin,Married,1,Higher education,State servant,7,90000.0
101223,28,Féminin,Married,0,Secondary / secondary special,Working,2,157500.0
101225,29,Féminin,Married,0,Secondary / secondary special,Working,0,216000.0
101237,57,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,112500.0
101243,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
101244,28,Féminin,Married,1,Secondary / secondary special,Working,5,81000.0
101258,67,Féminin,Married,0,Secondary / secondary special,Pensioner,0,135000.0
101259,27,Féminin,Civil marriage,0,Secondary / secondary special,Working,4,81000.0
101268,45,Masculin,Married,0,Secondary / secondary special,Working,3,157500.0
101269,59,Féminin,Married,0,Secondary / secondary special,Working,1,171000.0
101271,46,Féminin,Married,0,Secondary / secondary special,Working,27,135000.0
101279,64,Féminin,Married,0,Lower secondary,Pensioner,0,67500.0
101281,67,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,225000.0
101287,32,Féminin,Married,2,Secondary / secondary special,Commercial associate,3,157500.0
101292,61,Féminin,Separated,0,Secondary / secondary special,Pensioner,0,126000.0
101294,44,Féminin,Married,0,Secondary / secondary special,Commercial associate,16,135000.0
101296,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
101297,40,Féminin,Civil marriage,0,Higher education,Commercial associate,1,202500.0
101299,34,Féminin,Married,0,Higher education,Working,8,202500.0
101301,50,Masculin,Married,1,Higher education,Commercial associate,0,202500.0
101305,61,Féminin,Married,0,Secondary / secondary special,Pensioner,0,81000.0
101308,33,Féminin,Separated,1,Higher education,Commercial associate,0,540000.0
101318,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
101327,34,Masculin,Married,2,Secondary / secondary special,Working,7,225000.0
101329,35,Féminin,Single / not married,1,Secondary / secondary special,Working,5,112500.0
101332,58,Féminin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
101337,47,Féminin,Married,0,Higher education,Working,2,157500.0
101343,44,Féminin,Married,1,Secondary / secondary special,State servant,21,180000.0
101345,37,Féminin,Single / not married,0,Higher education,Commercial associate,2,63000.0
101346,51,Masculin,Married,1,Higher education,Working,18,180000.0
101353,50,Masculin,Married,0,Secondary / secondary special,Pensioner,0,360000.0
101354,30,Féminin,Married,2,Secondary / secondary special,Working,2,67500.0
101355,51,Masculin,Married,0,Secondary / secondary special,Commercial associate,4,225000.0
101356,64,Féminin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
101362,28,Féminin,Married,0,Secondary / secondary special,Working,6,90000.0
101363,30,Masculin,Married,1,Secondary / secondary special,Working,5,315000.0
101365,53,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,15,225000.0
101366,51,Féminin,Single / not married,0,Secondary / secondary special,State servant,4,112500.0
101367,24,Féminin,Single / not married,1,Secondary / secondary special,Commercial associate,0,112500.0
101368,39,Masculin,Married,2,Higher education,Commercial associate,9,450000.0
101374,23,Masculin,Single / not married,0,Secondary / secondary special,State servant,4,180000.0
101380,49,Féminin,Married,0,Higher education,Working,9,162000.0
101383,65,Masculin,Married,0,Secondary / secondary special,Pensioner,0,135000.0
101398,61,Féminin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
101399,41,Féminin,Married,0,Secondary / secondary special,Working,8,90000.0
101401,46,Masculin,Married,0,Secondary / secondary special,Working,1,157500.0
101412,31,Féminin,Married,0,Higher education,Working,5,81000.0
101426,53,Masculin,Civil marriage,0,Secondary / secondary special,Working,9,157500.0
101427,23,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,2,225000.0
101428,32,Masculin,Civil marriage,0,Secondary / secondary special,Commercial associate,1,202500.0
101429,55,Masculin,Separated,0,Secondary / secondary special,Pensioner,0,67500.0
101434,50,Féminin,Married,0,Secondary / secondary special,Working,5,90000.0
101440,33,Féminin,Married,0,Secondary / secondary special,Working,1,90000.0
101448,45,Féminin,Married,0,Secondary / secondary special,Working,9,112500.0
101449,53,Féminin,Widow,0,Secondary / secondary special,Working,7,157500.0
101465,27,Féminin,Single / not married,0,Higher education,Working,3,202500.0
101467,46,Masculin,Married,2,Secondary / secondary special,Working,2,103500.0
101472,25,Masculin,Civil marriage,0,Secondary / secondary special,Working,1,135000.0
101478,63,Masculin,Married,0,Secondary / secondary special,Pensioner,0,206100.0
101497,52,Féminin,Separated,0,Secondary / secondary special,Working,8,247500.0
101504,53,Féminin,Married,0,Secondary / secondary special,Commercial associate,0,270000.0
101547,28,Féminin,Married,0,Higher education,Working,9,112500.0
101548,31,Féminin,Married,2,Higher education,Working,8,103500.0
101555,55,Féminin,Married,0,Higher education,Working,5,135000.0
101570,41,Féminin,Married,1,Secondary / secondary special,Working,0,112500.0
101572,47,Féminin,Married,0,Secondary / secondary special,Commercial associate,9,189000.0
101578,39,Féminin,Married,0,Higher education,Commercial associate,0,153747.0
101580,54,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,0,117000.0
101588,35,Féminin,Married,3,Secondary / secondary special,Working,1,90000.0
101602,33,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,2,103500.0
101610,29,Féminin,Married,0,Secondary / secondary special,Working,3,180000.0
101614,42,Masculin,Married,2,Secondary / secondary special,Working,6,180000.0
101616,37,Féminin,Married,0,Secondary / secondary special,Working,3,58500.0
101643,40,Féminin,Married,1,Secondary / secondary special,Working,4,202500.0
101644,51,Masculin,Married,0,Secondary / secondary special,Working,27,270000.0
101649,42,Masculin,Married,0,Secondary / secondary special,Working,16,180000.0
101650,36,Féminin,Civil marriage,0,Secondary / secondary special,Working,3,126000.0
101665,63,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,90000.0
101667,22,Féminin,Single / not married,0,Incomplete higher,Working,0,135000.0
101669,60,Féminin,Widow,0,Higher education,Pensioner,0,67500.0
101674,27,Masculin,Separated,1,Higher education,Working,1,234000.0
101675,50,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,6,180000.0
101678,48,Féminin,Married,0,Secondary / secondary special,Commercial associate,8,171000.0
101682,24,Féminin,Single / not married,0,Higher education,Working,0,135000.0
101686,59,Féminin,Widow,1,Secondary / secondary special,Working,3,90000.0
101697,35,Masculin,Married,8,Secondary / secondary special,Working,4,180000.0
101700,31,Féminin,Married,1,Higher education,Working,5,135000.0
101711,66,Masculin,Married,0,Secondary / secondary special,Pensioner,0,90000.0
101714,55,Féminin,Married,0,Secondary / secondary special,Pensioner,0,202500.0
101715,35,Féminin,Married,0,Secondary / secondary special,Working,0,112500.0
101728,47,Féminin,Widow,0,Incomplete higher,Commercial associate,11,157500.0
101732,53,Féminin,Married,0,Secondary / secondary special,Pensioner,0,157500.0
101757,64,Féminin,Civil marriage,0,Secondary / secondary special,Pensioner,0,94500.0
101758,25,Masculin,Civil marriage,1,Secondary / secondary special,Working,2,216000.0
101759,35,Féminin,Married,1,Secondary / secondary special,Working,4,157500.0
101762,47,Féminin,Married,0,Higher education,Working,5,675000.0
101764,44,Féminin,Married,0,Secondary / secondary special,Working,6,157500.0
101780,30,Masculin,Married,1,Secondary / secondary special,Working,1,225000.0
101784,52,Masculin,Civil marriage,1,Secondary / secondary special,Working,10,261000.0
101789,47,Masculin,Married,0,Higher education,Commercial associate,8,337500.0
101816,63,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,90000.0
101819,48,Masculin,Married,0,Higher education,Working,1,180000.0
101827,57,Féminin,Married,0,Secondary / secondary special,Pensioner,0,112500.0
101863,52,Masculin,Married,0,Secondary / secondary special,Commercial associate,4,360000.0
101867,40,Féminin,Married,0,Secondary / secondary special,Working,6,144000.0
101870,39,Féminin,Civil marriage,0,Secondary / secondary special,Commercial associate,12,135000.0
101873,46,Masculin,Married,0,Secondary / secondary special,Commercial associate,2,112500.0
101878,40,Masculin,Married,1,Higher education,State servant,4,292500.0
101879,62,Féminin,Married,0,Secondary / secondary special,Pensioner,0,225000.0
101880,40,Féminin,Married,0,Secondary / secondary special,Commercial associate,2,360000.0
101887,26,Masculin,Married,1,Incomplete higher,Working,0,247500.0
101897,57,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,90000.0
101901,33,Féminin,Married,1,Higher education,Working,0,135000.0
101903,22,Masculin,Single / not married,0,Secondary / secondary special,Working,3,135000.0
101920,60,Masculin,Married,0,Secondary / secondary special,Working,16,360000.0
101921,37,Féminin,Married,2,Secondary / secondary special,Working,1,157500.0
101922,61,Masculin,Married,2,Secondary / secondary special,Pensioner,0,121500.0
101961,22,Masculin,Single / not married,0,Incomplete higher,Working,4,94500.0
101962,30,Masculin,Married,1,Higher education,Working,6,202500.0
101971,43,Masculin,Married,0,Secondary / secondary special,Working,7,135000.0
101976,36,Masculin,Separated,0,Secondary / secondary special,Working,0,171000.0
102002,32,Féminin,Married,0,Secondary / secondary special,Working,8,225000.0
102005,41,Féminin,Married,1,Higher education,Commercial associate,0,189000.0
102007,45,Masculin,Married,0,Secondary / secondary special,Working,8,162000.0
102017,53,Féminin,Widow,0,Higher education,Working,9,216000.0
102019,44,Masculin,Married,2,Secondary / secondary special,Working,1,180000.0
102029,46,Féminin,Married,0,Secondary / secondary special,State servant,8,112500.0
102051,27,Féminin,Civil marriage,2,Secondary / secondary special,Commercial associate,2,180000.0
102052,39,Féminin,Married,2,Secondary / secondary special,Commercial associate,5,126000.0
102054,37,Masculin,Married,3,Higher education,Working,11,315000.0
102062,44,Masculin,Married,0,Secondary / secondary special,Working,12,72000.0
102067,60,Masculin,Single / not married,0,Secondary / secondary special,Pensioner,0,166500.0
102068,40,Masculin,Married,2,Higher education,Working,4,180000.0
102070,37,Féminin,Married,0,Higher education,Working,2,247500.0
102090,64,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,90000.0
102092,23,Masculin,Single / not married,0,Incomplete higher,Working,3,180000.0
102099,25,Masculin,Married,0,Secondary / secondary special,Working,2,157500.0
102100,45,Féminin,Married,1,Higher education,Commercial associate,1,382500.0
102112,30,Féminin,Single / not married,0,Secondary / secondary special,Working,1,180000.0
102113,27,Féminin,Single / not married,1,Higher education,Working,0,112500.0
102122,53,Féminin,Separated,0,Secondary / secondary special,Working,21,180000.0
102123,62,Féminin,Married,0,Secondary / secondary special,Working,30,148500.0
102125,48,Masculin,Married,0,Secondary / secondary special,Pensioner,0,225000.0
102126,32,Masculin,Married,0,Lower secondary,Commercial associate,7,90000.0
102146,31,Masculin,Married,1,Higher education,Working,1,157500.0
102147,48,Féminin,Married,0,Secondary / secondary special,Working,28,103500.0
102151,28,Féminin,Married,1,Secondary / secondary special,Working,6,90000.0
102158,42,Féminin,Civil marriage,0,Higher education,State servant,8,301500.0
102159,52,Féminin,Widow,1,Secondary / secondary special,Working,6,135000.0
102162,29,Féminin,Married,1,Higher education,Commercial associate,6,135000.0
102165,30,Masculin,Married,0,Incomplete higher,Commercial associate,1,292500.0
102166,48,Féminin,Separated,0,Secondary / secondary special,Working,11,135000.0
102174,44,Féminin,Single / not married,0,Secondary / secondary special,Commercial associate,2,112500.0
102193,55,Masculin,Married,0,Secondary / secondary special,Commercial associate,4,135000.0
102198,56,Masculin,Married,0,Secondary / secondary special,Pensioner,0,94500.0
102205,47,Féminin,Married,0,Secondary / secondary special,Commercial associate,8,292500.0
102206,43,Féminin,Civil marriage,1,Secondary / secondary special,Working,25,112500.0
102218,48,Féminin,Married,0,Secondary / secondary special,Commercial associate,2,90000.0
102221,43,Féminin,Married,0,Secondary / secondary special,Working,7,157500.0
102230,49,Masculin,Married,0,Secondary / secondary special,Working,1,270000.0
102238,29,Masculin,Married,1,Secondary / secondary special,Commercial associate,3,225000.0
102248,63,Féminin,Separated,0,Higher education,Pensioner,0,360000.0
102252,28,Féminin,Married,0,Secondary / secondary special,Commercial associate,8,54000.0
102259,52,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,112500.0
102262,35,Masculin,Married,0,Secondary / secondary special,State servant,9,103500.0
102273,63,Masculin,Widow,0,Higher education,Pensioner,0,112500.0
102286,60,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,103500.0
102293,51,Féminin,Married,0,Secondary / secondary special,Commercial associate,3,135000.0
102294,38,Féminin,Married,2,Higher education,Working,0,112500.0
102296,39,Féminin,Married,0,Secondary / secondary special,Commercial associate,5,135000.0
102298,31,Féminin,Married,1,Secondary / secondary special,Working,0,112500.0
102303,55,Féminin,Married,0,Higher education,Working,10,315000.0
102309,54,Masculin,Married,0,Secondary / secondary special,Working,6,135000.0
102315,35,Féminin,Civil marriage,1,Higher education,Working,4,180000.0
102340,51,Masculin,Separated,0,Secondary / secondary special,Pensioner,0,157500.0
102342,59,Féminin,Married,0,Secondary / secondary special,Pensioner,0,67500.0
102344,66,Féminin,Single / not married,0,Secondary / secondary special,Pensioner,0,117000.0
102346,34,Masculin,Married,1,Secondary / secondary special,Working,1,202500.0
102347,65,Féminin,Married,0,Secondary / secondary special,Pensioner,0,56700.0
102374,55,Masculin,Married,0,Secondary / secondary special,Working,34,292500.0
102380,37,Masculin,Married,2,Secondary / secondary special,Commercial associate,13,162000.0
102387,33,Masculin,Married,0,Secondary / secondary special,Working,0,202500.0
102393,33,Féminin,Married,1,Secondary / secondary special,Commercial associate,6,112500.0
102403,43,Masculin,Married,0,Secondary / secondary special,Commercial associate,5,135000.0
102413,42,Masculin,Civil marriage,0,Secondary / secondary special,Working,7,157500.0
102414,40,Masculin,Married,0,Higher education,State servant,15,180000.0
102415,46,Féminin,Married,0,Secondary / secondary special,Working,20,202500.0
102416,30,Féminin,Married,1,Secondary / secondary special,Commercial associate,3,157500.0
102439,53,Féminin,Married,0,Secondary / secondary special,Working,2,45000.0
102441,38,Masculin,Married,0,Secondary / secondary special,Working,5,225000.0
102443,28,Féminin,Married,0,Higher education,Working,4,202500.0
102444,41,Masculin,Married,0,Higher education,Commercial associate,11,135000.0
102445,28,Masculin,Married,0,Secondary / secondary special,Working,3,81000.0
102448,39,Féminin,Single / not married,1,Higher education,Commercial associate,8,121500.0
102449,49,Féminin,Married,0,Secondary / secondary special,Working,20,135000.0
102450,33,Masculin,Married,0,Secondary / secondary special,Working,2,337500.0
102456,32,Féminin,Married,1,Higher education,Working,8,135000.0
102458,39,Féminin,Married,1,Higher education,Working,10,180000.0
102459,38,Féminin,Married,1,Secondary / secondary special,Commercial associate,14,112500.0
102465,43,Féminin,Married,1,Secondary / secondary special,State servant,20,225000.0
102470,29,Féminin,Married,1,Secondary / secondary special,Working,4,76500.0
102471,32,Féminin,Married,3,Higher education,Commercial associate,0,81000.0
102475,39,Masculin,Married,0,Lower secondary,Working,7,175500.0
102476,47,Féminin,Civil marriage,0,Secondary / secondary special,Working,5,202500.0
102506,29,Masculin,Married,1,Secondary / secondary special,Commercial associate,1,270000.0
102509,57,Masculin,Married,0,Higher education,Commercial associate,1,360000.0
102519,56,Féminin,Widow,0,Secondary / secondary special,Pensioner,0,108000.0
102522,33,Masculin,Married,0,Higher education,Commercial associate,11,288000.0
102545,49,Masculin,Married,1,Secondary / secondary special,Commercial associate,12,157500.0
102549,27,Féminin,Single / not married,0,Incomplete higher,Working,1,90000.0
102562,44,Féminin,Civil marriage,0,Higher education,Working,19,157500.0
102563,44,Féminin,Separated,0,Secondary / secondary special,Working,11,157500.0
102568,49,Masculin,Single / not married,0,Secondary / secondary special,Working,6,112500.0
102582,27,Masculin,Married,0,Higher education,Working,4,90000.0
102592,29,Féminin,Married,0,Higher education,Working,0,202500.0
102597,29,Féminin,Married,0,Secondary / secondary special,Working,4,85500.0
102605,45,Masculin,Married,2,Secondary / secondary special,Working,2,157500.0
102614,37,Masculin,Single / not married,0,Secondary / secondary special,Working,16,112500.0
102617,37,Féminin,Married,1,Secondary / secondary special,Commercial associate,6,180000.0
